scenario,estimate_index,now_us,fsm_state,tg_us,W_sec,S_sec,tau_hat_sec,m1_hat,m2_hat,m3_hat,Y_hat,sigma_Y,has_significance,is_low_rate,is_degraded,is_stats_bound,insufficient_statistics,model_mismatch,debug_event_count,debug_bins_with_counts
stable_high_rate,0,2000300,Warmup,1000,2,0,0.0005112642094104177,5.037,25.293,126.735,-0.015558665872542898,0.031907876674915396,False,False,False,False,True,False,10075,8956
stable_high_rate,1,2200300,Warmup,500,2,0.2,0.0005112642094104177,5.029,25.218,126.19200000000001,-0.014484191688208466,0.03204605719929747,False,False,False,False,True,False,10059,8932
stable_high_rate,2,2400300,Warmup,500,2,0.2,0.0005112642094104177,2.50025,6.183,15.111,-0.02729729527047286,0.021359467521680366,False,False,False,False,True,False,10002,8887
stable_high_rate,3,2600300,Warmup,500,2,0.2,0.0005112642094104177,2.519,6.259,15.231,-0.03428384279475988,0.02085505898808424,False,False,False,False,True,False,10077,8958
stable_high_rate,4,2800300,Warmup,500,2,0.2,0.0004180754087618942,2.52425,6.304,15.406500000000001,-0.026874541943151045,0.021012557232672157,False,False,False,False,True,False,10098,8980
stable_high_rate,5,3000300,Warmup,500,2,0.2,0.0006252247473683123,2.52325,6.3175,15.5025,-0.019534553651045443,0.021109512454086255,False,False,False,False,True,False,10094,8979
stable_high_rate,6,3200300,Warmup,500,2,0.2,0.0006252247473683123,2.52575,6.357,15.7125,-0.00887382460655219,0.021644768715384954,False,False,False,False,True,False,10104,8974
stable_high_rate,7,3400300,Warmup,500,2,0.2,0.0007645870325492904,2.5185,6.3265,15.6495,-0.006488882271192863,0.021719136663353893,False,False,False,False,True,False,10075,8951
stable_high_rate,8,3600300,Warmup,500,2,0.2,0.0006252247473683123,2.5020000000000002,6.2295,15.3705,-0.012191846522782341,0.02210034171079511,False,False,False,False,True,False,10009,8889
stable_high_rate,9,3800300,Warmup,500,2,0.2,0.0005112642094104177,2.49325,6.1610000000000005,15.0105,-0.022178105885892085,0.02149209346701658,False,False,False,False,True,False,9974,8879
stable_high_rate,10,4000300,Warmup,500,2,0.2,0.0005112642094104177,2.489,6.118,14.8725,-0.030984732824427125,0.02167669092699468,False,False,False,False,True,False,9957,8863
stable_high_rate,11,4200300,Warmup,500,2,0.2,0.0005112642094104177,2.49725,6.173,15.123000000000001,-0.025330888977875853,0.021789276563777125,False,False,False,False,True,False,9990,8889
stable_high_rate,12,4400300,Warmup,500,2,0.2,0.0004180754087618942,2.4995,6.1745,15.087,-0.0292059411882372,0.021733592396947467,False,False,False,False,True,False,9999,8885
stable_high_rate,13,4600300,Warmup,500,2,0.2,0.00034187225351249784,2.474,6.069,14.859,-0.02088763136620913,0.022234365620727337,False,False,False,False,True,False,9897,8777
stable_high_rate,14,4800300,Warmup,500,2,0.2,0.0004180754087618942,2.4745,6.093,15.036,-0.01218438068296596,0.022357195281568425,False,False,False,False,True,False,9899,8742
stable_high_rate,15,5000300,Warmup,500,2,0.2,0.0006252247473683123,2.475,6.12,15.159,-0.002272727272727359,0.022485039741812204,False,False,False,False,True,False,9901,8737
